ID;SID;x;y;z
355;44;17.00;101.75;111.90
356;44;17.00;101.75;111.85
357;44;17.50;101.25;111.90
358;44;17.50;101.25;111.85
359;44;17.50;101.75;111.90
360;44;17.50;101.75;111.85
361;50;16.00;101.75;111.85
362;50;16.00;101.75;111.80
363;50;16.00;102.25;111.85
364;50;16.00;102.25;111.80
365;50;16.50;101.75;111.85
366;50;16.50;101.75;111.80
367;50;16.50;102.25;111.85
368;50;16.50;102.25;111.80
369;51;16.00;102.25;111.85
370;51;16.00;102.25;111.80
371;51;16.00;102.75;111.85
372;51;16.00;102.75;111.80
373;51;16.50;102.25;111.85
374;51;16.50;102.25;111.80
375;51;16.50;102.75;111.85
376;51;16.50;102.75;111.80
377;52;16.50;102.25;111.85
378;52;16.50;102.25;111.80
379;52;16.50;102.75;111.85
380;52;16.50;102.75;111.80
381;52;17.00;102.25;111.85
382;52;17.00;102.25;111.80
383;52;17.00;102.75;111.85
384;52;17.00;102.75;111.80
385;53;16.50;101.75;111.85
386;53;16.50;101.75;111.80
387;53;16.50;102.25;111.85
388;53;16.50;102.25;111.80
389;53;17.00;101.75;111.85
390;53;17.00;101.75;111.80
391;53;17.00;102.25;111.85
392;53;17.00;102.25;111.80
393;56;17.00;101.75;111.85
394;56;17.00;101.75;111.80
395;56;17.00;102.25;111.85
396;56;17.00;102.25;111.80
397;56;17.50;101.75;111.85
398;56;17.50;101.75;111.80
399;56;17.50;102.25;111.85
400;56;17.50;102.25;111.80
401;46;16.00;100.75;111.85
402;46;16.00;100.75;111.80
403;46;16.00;101.25;111.85
404;46;16.00;101.25;111.80
405;46;16.50;100.75;111.85
406;46;16.50;100.75;111.80
407;46;16.50;101.25;111.85
408;46;16.50;101.25;111.80
409;47;16.00;101.25;111.85
410;47;16.00;101.25;111.80
411;47;16.00;101.75;111.85
412;47;16.00;101.75;111.80
413;47;16.50;101.25;111.85
414;47;16.50;101.25;111.80
415;47;16.50;101.75;111.85
416;47;16.50;101.75;111.80
417;48;16.50;101.25;111.85
418;48;16.50;101.25;111.80
419;48;16.50;101.75;111.85
420;48;16.50;101.75;111.80
421;48;17.00;101.25;111.85
422;48;17.00;101.25;111.80
423;48;17.00;101.75;111.85
424;48;17.00;101.75;111.80
425;49;16.50;100.75;111.85
426;49;16.50;100.75;111.80
427;49;16.50;101.25;111.85
428;49;16.50;101.25;111.80
429;49;17.00;100.75;111.85
430;49;17.00;100.75;111.80
431;49;17.00;101.25;111.85
432;49;17.00;101.25;111.80
433;54;17.00;100.75;111.85
434;54;17.00;100.75;111.80
435;54;17.00;101.25;111.85
436;54;17.00;101.25;111.80
437;54;17.50;100.75;111.85
438;54;17.50;100.75;111.80
439;54;17.50;101.25;111.85
440;54;17.50;101.25;111.80
441;55;17.00;101.25;111.85
442;55;17.00;101.25;111.80
443;55;17.00;101.75;111.85
444;55;17.00;101.75;111.80
445;55;17.50;101.25;111.85
446;55;17.50;101.25;111.80
447;55;17.50;101.75;111.85
448;55;17.50;101.75;111.80
449;61;16.00;101.75;111.80
450;61;16.00;101.75;111.75
451;61;16.00;102.25;111.80
452;61;16.00;102.25;111.75
453;61;16.50;101.75;111.80
454;61;16.50;101.75;111.75
455;61;16.50;102.25;111.80
456;61;16.50;102.25;111.75
457;62;16.00;102.25;111.80
458;62;16.00;102.25;111.75
459;62;16.00;102.75;111.80
460;62;16.00;102.75;111.75
461;62;16.50;102.25;111.80
462;62;16.50;102.25;111.75
463;62;16.50;102.75;111.80
464;62;16.50;102.75;111.75
465;63;16.50;102.25;111.80
466;63;16.50;102.25;111.75
467;63;16.50;102.75;111.80
468;63;16.50;102.75;111.75
469;63;17.00;102.25;111.80
470;63;17.00;102.25;111.75
471;63;17.00;102.75;111.80
472;63;17.00;102.75;111.75
473;64;16.50;101.75;111.80
474;64;16.50;101.75;111.75
475;64;16.50;102.25;111.80
476;64;16.50;102.25;111.75
477;64;17.00;101.75;111.80
478;64;17.00;101.75;111.75
479;64;17.00;102.25;111.80
480;64;17.00;102.25;111.75
481;69;17.00;101.75;111.80
482;69;17.00;101.75;111.75
483;69;17.00;102.25;111.80
484;69;17.00;102.25;111.75
485;69;17.50;101.75;111.80
486;69;17.50;101.75;111.75
487;69;17.50;102.25;111.80
488;69;17.50;102.25;111.75
489;57;16.00;100.75;111.80
490;57;16.00;100.75;111.75
491;57;16.00;101.25;111.80
492;57;16.00;101.25;111.75
493;57;16.50;100.75;111.80
494;57;16.50;100.75;111.75
495;57;16.50;101.25;111.80
496;57;16.50;101.25;111.75
497;58;16.00;101.25;111.80
498;58;16.00;101.25;111.75
499;58;16.00;101.75;111.80
500;58;16.00;101.75;111.75
501;58;16.50;101.25;111.80
502;58;16.50;101.25;111.75
503;58;16.50;101.75;111.80
504;58;16.50;101.75;111.75
505;59;16.50;101.25;111.80
506;59;16.50;101.25;111.75
507;59;16.50;101.75;111.80
508;59;16.50;101.75;111.75
509;59;17.00;101.25;111.80
510;59;17.00;101.25;111.75
511;59;17.00;101.75;111.80
512;59;17.00;101.75;111.75
513;60;16.50;100.75;111.80
514;60;16.50;100.75;111.75
515;60;16.50;101.25;111.80
516;60;16.50;101.25;111.75
517;60;17.00;100.75;111.80
518;60;17.00;100.75;111.75
519;60;17.00;101.25;111.80
520;60;17.00;101.25;111.75
521;65;17.00;100.75;111.80
522;65;17.00;100.75;111.75
523;65;17.00;101.25;111.80
524;65;17.00;101.25;111.75
525;65;17.50;100.75;111.80
526;65;17.50;100.75;111.75
527;65;17.50;101.25;111.80
528;65;17.50;101.25;111.75
529;66;17.00;101.25;111.80
530;66;17.00;101.25;111.75
531;66;17.00;101.75;111.80
532;66;17.00;101.75;111.75
533;66;17.50;101.25;111.80
534;66;17.50;101.25;111.75
535;66;17.50;101.75;111.80
536;66;17.50;101.75;111.75
537;67;17.50;101.25;111.80
538;67;17.50;101.25;111.75
539;67;17.50;101.75;111.80
540;67;17.50;101.75;111.75
541;67;18.00;101.25;111.80
542;67;18.00;101.25;111.75
543;67;18.00;101.75;111.80
544;67;18.00;101.75;111.75
545;68;17.50;100.75;111.80
546;68;17.50;100.75;111.75
547;68;17.50;101.25;111.80
548;68;17.50;101.25;111.75
549;68;18.00;100.75;111.80
550;68;18.00;100.75;111.75
551;68;18.00;101.25;111.80
552;68;18.00;101.25;111.75
553;74;16.00;101.75;111.75
554;74;16.00;101.75;111.70
555;74;16.00;102.25;111.75
556;74;16.00;102.25;111.70
557;74;16.50;101.75;111.75
558;74;16.50;101.75;111.70
559;74;16.50;102.25;111.75
560;74;16.50;102.25;111.70
561;75;16.00;102.25;111.75
562;75;16.00;102.25;111.70
563;75;16.00;102.75;111.75
564;75;16.00;102.75;111.70
565;75;16.50;102.25;111.75
566;75;16.50;102.25;111.70
567;75;16.50;102.75;111.75
568;75;16.50;102.75;111.70
569;76;16.50;102.25;111.75
570;76;16.50;102.25;111.70
571;76;16.50;102.75;111.75
572;76;16.50;102.75;111.70
573;76;17.00;102.25;111.75
574;76;17.00;102.25;111.70
575;76;17.00;102.75;111.75
576;76;17.00;102.75;111.70
577;77;16.50;101.75;111.75
578;77;16.50;101.75;111.70
579;77;16.50;102.25;111.75
580;77;16.50;102.25;111.70
581;77;17.00;101.75;111.75
582;77;17.00;101.75;111.70
583;77;17.00;102.25;111.75
584;77;17.00;102.25;111.70
585;82;17.00;101.75;111.75
586;82;17.00;101.75;111.70
587;82;17.00;102.25;111.75
588;82;17.00;102.25;111.70
589;82;17.50;101.75;111.75
590;82;17.50;101.75;111.70
591;82;17.50;102.25;111.75
592;82;17.50;102.25;111.70
593;70;16.00;100.75;111.75
594;70;16.00;100.75;111.70
595;70;16.00;101.25;111.75
