"SID","above_surface","escargotiere","mixed_escargotiere","mixed_couche_rouge","couche_rouge","below_bottom"
357,NA,84.7,15.3,NA,NA,NA
358,NA,NA,100,NA,NA,NA
359,NA,NA,100,NA,NA,NA
360,NA,NA,100,NA,NA,NA
361,NA,NA,100,NA,NA,NA
362,NA,NA,100,NA,NA,NA
363,NA,NA,100,NA,NA,NA
364,NA,NA,100,NA,NA,NA
365,NA,3.7,96.3,NA,NA,NA
366,NA,39.8,60.2,NA,NA,NA
367,NA,10.6,89.4,NA,NA,NA
368,NA,NA,100,NA,NA,NA
369,NA,NA,100,NA,NA,NA
370,NA,NA,100,NA,NA,NA
371,NA,25,75,NA,NA,NA
372,NA,75.5,24.5,NA,NA,NA
373,NA,NA,100,NA,NA,NA
374,NA,NA,100,NA,NA,NA
375,NA,NA,100,NA,NA,NA
376,NA,NA,100,NA,NA,NA
377,NA,NA,100,NA,NA,NA
378,NA,NA,100,NA,NA,NA
379,NA,NA,100,NA,NA,NA
380,NA,NA,100,NA,NA,NA
381,NA,NA,100,NA,NA,NA
382,NA,NA,100,NA,NA,NA
383,NA,NA,100,NA,NA,NA
384,NA,0.9,99.1,NA,NA,NA
385,NA,10.2,89.8,NA,NA,NA
386,NA,NA,100,NA,NA,NA
387,NA,NA,100,NA,NA,NA
388,NA,NA,100,NA,NA,NA
389,NA,NA,100,NA,NA,NA
390,NA,NA,100,NA,NA,NA
391,NA,NA,100,NA,NA,NA
392,NA,NA,100,NA,NA,NA
393,NA,NA,100,NA,NA,NA
394,NA,NA,100,NA,NA,NA
395,NA,NA,100,NA,NA,NA
396,NA,NA,100,NA,NA,NA
397,NA,NA,100,NA,NA,NA
398,NA,NA,100,NA,NA,NA
424,NA,NA,100,NA,NA,NA
425,NA,NA,84.7,15.3,NA,NA
426,NA,NA,100,NA,NA,NA
427,NA,NA,81.9,18.1,NA,NA
428,NA,NA,60.6,39.4,NA,NA
429,NA,NA,100,NA,NA,NA
430,NA,NA,99.5,0.5,NA,NA
431,NA,NA,100,NA,NA,NA
432,NA,NA,81,19,NA,NA
433,NA,NA,70.4,29.6,NA,NA
434,NA,NA,100,NA,NA,NA
435,NA,NA,100,NA,NA,NA
436,NA,NA,99.1,0.9,NA,NA
437,NA,NA,42.1,57.9,NA,NA
438,NA,NA,19,81,NA,NA
439,NA,NA,52.8,47.2,NA,NA
440,NA,NA,15.3,84.7,NA,NA
441,NA,NA,5.1,94.9,NA,NA
442,NA,NA,50,50,NA,NA
443,NA,NA,44,56,NA,NA
444,NA,NA,49.5,50.5,NA,NA
445,NA,NA,29.2,70.8,NA,NA
446,NA,NA,7.9,92.1,NA,NA
447,NA,NA,69,31,NA,NA
448,NA,NA,87,13,NA,NA
449,NA,NA,67.1,32.9,NA,NA
450,NA,NA,4.6,95.4,NA,NA
451,NA,NA,NA,100,NA,NA
452,NA,NA,NA,100,NA,NA
453,NA,NA,NA,100,NA,NA
454,NA,NA,NA,100,NA,NA
455,NA,NA,NA,100,NA,NA
456,NA,NA,NA,100,NA,NA
457,NA,NA,NA,100,NA,NA
458,NA,NA,NA,100,NA,NA
459,NA,NA,NA,100,NA,NA
460,NA,NA,NA,100,NA,NA
461,NA,NA,15.3,84.7,NA,NA
462,NA,NA,7.4,92.6,NA,NA
463,NA,NA,NA,100,NA,NA
464,NA,NA,NA,100,NA,NA
465,NA,NA,NA,100,NA,NA
466,NA,NA,NA,100,NA,NA
467,NA,NA,NA,100,NA,NA
468,NA,NA,NA,100,NA,NA
469,NA,NA,NA,100,NA,NA
470,NA,NA,NA,100,NA,NA
471,NA,NA,NA,100,NA,NA
472,NA,NA,NA,100,NA,NA
473,NA,NA,NA,100,NA,NA
474,NA,NA,NA,100,NA,NA
475,NA,NA,NA,100,NA,NA
476,NA,NA,NA,100,NA,NA
477,NA,NA,NA,100,NA,NA
478,NA,NA,NA,100,NA,NA
479,NA,NA,NA,100,NA,NA
480,NA,NA,NA,100,NA,NA
481,NA,NA,NA,100,NA,NA
482,NA,NA,NA,100,NA,NA
483,NA,NA,NA,100,NA,NA
484,NA,NA,NA,100,NA,NA
485,NA,NA,NA,100,NA,NA
486,NA,NA,NA,100,NA,NA
487,NA,NA,NA,100,NA,NA
488,NA,NA,NA,100,NA,NA
489,NA,NA,NA,100,NA,NA
490,NA,NA,NA,100,NA,NA
491,NA,NA,NA,100,NA,NA
492,NA,NA,NA,100,NA,NA
493,NA,NA,NA,100,NA,NA
494,NA,NA,NA,100,NA,NA
495,NA,NA,NA,100,NA,NA
496,NA,NA,NA,100,NA,NA
497,NA,NA,NA,100,NA,NA
498,NA,NA,NA,100,NA,NA
499,NA,NA,NA,100,NA,NA
500,NA,NA,NA,100,NA,NA
501,NA,NA,NA,100,NA,NA
502,NA,NA,NA,100,NA,NA
503,NA,NA,NA,100,NA,NA
504,NA,NA,NA,100,NA,NA
505,NA,NA,NA,100,NA,NA
506,NA,NA,NA,100,NA,NA
507,NA,NA,NA,100,NA,NA
508,NA,NA,NA,100,NA,NA
509,NA,NA,NA,100,NA,NA
510,NA,NA,NA,100,NA,NA
511,NA,NA,NA,100,NA,NA
512,NA,NA,NA,100,NA,NA
513,NA,NA,NA,94.9,5.1,NA
514,NA,NA,NA,100,NA,NA
515,NA,NA,NA,100,NA,NA
516,NA,NA,NA,100,NA,NA
517,NA,NA,NA,100,NA,NA
518,NA,NA,NA,100,NA,NA
519,NA,NA,NA,63.4,36.6,NA
520,NA,NA,NA,100,NA,NA
521,NA,NA,NA,100,NA,NA
522,NA,NA,NA,82.9,17.1,NA
523,NA,NA,NA,100,NA,NA
524,NA,NA,NA,100,NA,NA
525,NA,NA,NA,25.9,74.1,NA
526,NA,NA,NA,96.8,3.2,NA
527,NA,NA,NA,100,NA,NA
528,NA,NA,NA,46.3,53.7,NA
529,NA,NA,NA,100,NA,NA
530,NA,NA,NA,100,NA,NA
531,NA,NA,NA,7.4,92.6,NA
532,NA,NA,NA,82.4,17.6,NA
533,NA,NA,NA,100,NA,NA
534,NA,NA,NA,24.1,75.9,NA
535,NA,NA,NA,99.1,0.9,NA
536,NA,NA,NA,100,NA,NA
537,NA,NA,NA,0.5,99.5,NA
538,NA,NA,NA,45.8,54.2,NA
539,NA,NA,NA,93.5,6.5,NA
540,NA,NA,NA,5.6,94.4,NA
541,NA,NA,NA,87.5,12.5,NA
542,NA,NA,NA,100,NA,NA
543,NA,NA,NA,NA,100,NA
544,NA,NA,NA,13.9,86.1,NA
545,NA,NA,NA,66.7,33.3,NA
546,NA,NA,NA,NA,100,NA
547,NA,NA,NA,59.3,40.7,NA
548,NA,NA,NA,100,NA,NA
549,NA,NA,NA,NA,100,NA
550,NA,NA,NA,0.9,99.1,NA
551,NA,NA,NA,37.5,62.5,NA
552,NA,NA,NA,NA,100,NA
553,NA,NA,NA,17.6,82.4,NA
554,NA,NA,NA,92.1,7.9,NA
555,NA,NA,NA,NA,100,NA
556,NA,NA,NA,NA,100,NA
557,NA,NA,NA,12.5,87.5,NA
558,NA,NA,NA,NA,100,NA
559,NA,NA,NA,NA,100,NA
560,NA,NA,NA,50,50,NA
561,NA,NA,NA,NA,100,NA
562,NA,NA,NA,NA,100,NA
563,NA,NA,NA,0.9,99.1,NA
564,NA,NA,NA,NA,100,NA
565,NA,NA,NA,NA,100,NA
566,NA,NA,NA,8.3,91.7,NA
567,NA,NA,NA,NA,99.5,0.5
568,NA,NA,NA,NA,100,NA
569,NA,NA,NA,NA,100,NA
570,NA,NA,NA,NA,100,NA
571,NA,NA,NA,NA,100,NA
572,NA,NA,NA,NA,100,NA
573,NA,NA,NA,NA,91.7,8.3
574,NA,NA,NA,NA,99.1,0.9
575,NA,NA,NA,NA,100,NA
576,NA,NA,NA,NA,87.5,12.5
577,NA,NA,NA,NA,95.8,4.2
578,NA,NA,NA,NA,100,NA
579,NA,NA,NA,NA,71.8,28.2
580,NA,NA,NA,NA,78.2,21.8
581,NA,NA,NA,NA,92.6,7.4
582,NA,NA,NA,NA,42.6,57.4
583,NA,NA,NA,NA,63.9,36.1
584,NA,NA,NA,NA,92.6,7.4
585,NA,NA,NA,NA,48.1,51.9
586,NA,NA,NA,NA,46.3,53.7
587,NA,NA,NA,NA,64.8,35.2
588,NA,NA,NA,NA,15.3,84.7
589,NA,NA,NA,NA,38.4,61.6
590,NA,NA,NA,NA,82.9,17.1
591,NA,NA,NA,NA,17.1,82.9
592,NA,NA,NA,NA,18.5,81.5
593,NA,NA,NA,NA,15.7,84.3
594,NA,NA,NA,NA,4.2,95.8
595,NA,NA,NA,NA,13.4,86.6
596,NA,NA,NA,NA,65.3,34.7
